"id","year","month","casenumber","disease","item","datestart","dateend","districtcode","unit","value","annotation","sourceId"
"3457","2018","7","TKH-2018-000086","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-30","2018-08-20","323","number","4",,"60"
"3458","2018","8","TKH-2018-000086","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-30","2018-08-20","323","number","4",,"39"
"3459","2018","9","TKH-2018-000086","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-30","2018-08-20","323","number","4",,"8"
"3460","2018","5","TKH-2018-000090","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-04",NULL,"309","number","0",,"25"
"3461","2018","6","TKH-2018-000090","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-04",NULL,"309","number","0",,"47"
"3462","2018","7","TKH-2018-000090","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-04",NULL,"309","number","0",,"60"
"3463","2018","8","TKH-2018-000090","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-04",NULL,"309","number","0",,"39"
"3464","2018","9","TKH-2018-000090","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-04","2018-09-12","309","number","0",,"8"
"3465","2018","9","TKH-2018-000090","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-04",NULL,"309","number","0",,"8"
"3466","2018","4","TKH-2018-000091","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-27",NULL,"309","number","0",,"15"
"3467","2018","5","TKH-2018-000091","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-27",NULL,"309","number","0",,"25"
"3468","2018","6","TKH-2018-000091","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-27",NULL,"309","number","0",,"47"
"3469","2018","7","TKH-2018-000091","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-27",NULL,"309","number","0",,"60"
"3470","2018","8","TKH-2018-000091","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-27",NULL,"309","number","0",,"39"
"3471","2018","9","TKH-2018-000091","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-27","2018-09-17","309","number","0",,"8"
"3472","2018","9","TKH-2018-000091","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-04-27",NULL,"309","number","0",,"8"
"3473","2018","5","TKH-2018-000092","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-08",NULL,"309","number","0",,"25"
"3474","2018","6","TKH-2018-000092","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-08",NULL,"309","number","0",,"47"
"3475","2018","7","TKH-2018-000092","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-08",NULL,"309","number","0",,"60"
"3476","2018","8","TKH-2018-000092","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-08",NULL,"309","number","0",,"39"
"3477","2018","9","TKH-2018-000092","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-08","2018-09-12","309","number","0",,"8"
"3478","2018","9","TKH-2018-000092","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-08",NULL,"309","number","0",,"8"
"3479","2018","5","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"25"
"3480","2018","6","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"47"
"3481","2018","7","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"60"
"3482","2018","8","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"39"
"3483","2018","9","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"8"
"3484","2018","9","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"8"
"3485","2018","10","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"40"
"3486","2018","11","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14",NULL,"900","number","0",,"41"
"3487","2018","12","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14","2019-01-14","900","number","0",,"42"
"3488","2019","1","TKH-2018-000093","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-14","2018-10-28","900","number","0",,"30"
"3489","2018","5","TKH-2018-000112","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-13",NULL,"318","number","17",,"25"
"3490","2018","6","TKH-2018-000112","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-13",NULL,"318","number","17",,"47"
"3491","2018","7","TKH-2018-000112","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-13",NULL,"318","number","17",,"60"
"3492","2018","8","TKH-2018-000112","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-13",NULL,"318","number","17",,"39"
"3493","2018","9","TKH-2018-000112","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-13","2018-09-13","318","number","17",,"8"
"3494","2018","9","TKH-2018-000112","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-13",NULL,"318","number","17",,"8"
"3495","2018","5","TKH-2018-000115","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-23",NULL,"318","number","0",,"25"
"3496","2018","6","TKH-2018-000115","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-23",NULL,"318","number","0",,"47"
"3497","2018","7","TKH-2018-000115","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-23",NULL,"318","number","0",,"60"
"3498","2018","8","TKH-2018-000115","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-23",NULL,"318","number","0",,"39"
"3499","2018","9","TKH-2018-000115","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-23","2018-09-13","318","number","0",,"8"
"3500","2018","9","TKH-2018-000115","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-05-23",NULL,"318","number","0",,"8"
"3501","2018","6","TKH-2018-000126","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-18",NULL,"303","number","10",,"47"
"3502","2018","7","TKH-2018-000126","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-18",NULL,"303","number","10",,"60"
"3503","2018","8","TKH-2018-000126","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-18",NULL,"303","number","10",,"39"
"3504","2018","9","TKH-2018-000126","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-18",NULL,"303","number","10",,"8"
"3505","2018","6","TKH-2018-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-12",NULL,"204","number","0",,"47"
"3506","2018","7","TKH-2018-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-12",NULL,"204","number","0",,"60"
"3507","2018","8","TKH-2018-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-12",NULL,"204","number","0",,"39"
"3508","2018","9","TKH-2018-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-12","2018-10-09","204","number","0",,"8"
"3509","2018","9","TKH-2018-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-12",NULL,"204","number","0",,"8"
"3510","2018","10","TKH-2018-000136","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-12","2018-10-09","204","number","0",,"40"
"3511","2018","6","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06",NULL,"414","number","22",,"47"
"3512","2018","7","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06",NULL,"414","number","22",,"60"
"3513","2018","8","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06",NULL,"414","number","22",,"39"
"3514","2018","9","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06",NULL,"414","number","22",,"8"
"3515","2018","9","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06",NULL,"414","number","22",,"8"
"3516","2018","10","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06",NULL,"414","number","22",,"40"
"3517","2018","11","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06",NULL,"414","number","22",,"41"
"3518","2018","12","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06","2019-01-09","414","number","22",,"42"
"3519","2019","1","TKH-2018-000141","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-06","2019-01-09","414","number","22",,"30"
"3520","2018","6","TKH-2018-000142","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-22",NULL,"303","number","28",,"47"
"3521","2018","7","TKH-2018-000142","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-22",NULL,"303","number","28",,"60"
"3522","2018","8","TKH-2018-000142","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-22",NULL,"303","number","28",,"39"
"3523","2018","9","TKH-2018-000142","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-22",NULL,"303","number","28",,"8"
"3524","2018","6","TKH-2018-000143","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-25",NULL,"303","number","0",,"47"
"3525","2018","7","TKH-2018-000143","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-25",NULL,"303","number","0",,"60"
"3526","2018","8","TKH-2018-000143","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-25",NULL,"303","number","0",,"39"
"3527","2018","9","TKH-2018-000143","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-25",NULL,"303","number","0",,"8"
"3528","2018","6","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"47"
"3529","2018","7","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"60"
"3530","2018","8","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"39"
"3531","2018","9","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"8"
"3532","2018","9","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"8"
"3533","2018","10","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"40"
"3534","2018","11","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"41"
"3535","2018","12","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"42"
"3536","2019","1","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"30"
"3537","2019","3","TKH-2018-000151","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-19",NULL,"207","number","0",,"43"
"3538","2018","7","TKH-2018-000177","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-03",NULL,"303","number","2",,"60"
"3539","2018","8","TKH-2018-000177","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-03",NULL,"303","number","2",,"39"
"3540","2018","9","TKH-2018-000177","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-03",NULL,"303","number","2",,"8"
"3541","2018","7","TKH-2018-000181","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-03",NULL,"303","number","0",,"60"
"3542","2018","8","TKH-2018-000181","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-03",NULL,"303","number","0",,"39"
"3543","2018","9","TKH-2018-000181","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-03",NULL,"303","number","0",,"8"
"3544","2018","7","TKH-2018-000228","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-07","2018-07-16","207","number","0",,"60"
"3545","2018","7","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"60"
"3546","2018","8","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"39"
"3547","2018","9","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"8"
"3548","2018","9","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"8"
"3549","2018","10","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"40"
"3550","2018","11","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"41"
"3551","2018","12","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"42"
"3552","2019","1","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"30"
"3553","2019","3","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12",NULL,"207","number","0",,"43"
"3554","2019","4","TKH-2018-000230","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-12","2019-04-25","207","number","0",,"44"
"3555","2018","7","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"60"
"3556","2018","8","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"39"
"3557","2018","9","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"8"
"3558","2018","9","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"8"
"3559","2018","10","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"40"
"3560","2018","11","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"41"
"3561","2018","12","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"42"
"3562","2019","1","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"30"
"3563","2019","3","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14",NULL,"325","number","17",,"43"
"3564","2019","4","TKH-2018-000244","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-14","2019-04-12","325","number","17",,"44"
"3565","2018","7","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"60"
"3566","2018","8","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"39"
"3567","2018","9","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"8"
"3568","2018","9","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"8"
"3569","2018","10","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"40"
"3570","2018","11","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"41"
"3571","2018","12","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"42"
"3572","2019","1","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"30"
"3573","2019","3","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18",NULL,"325","number","15",,"43"
"3574","2019","4","TKH-2018-000245","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-18","2019-04-12","325","number","15",,"44"
"3575","2018","7","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"60"
"3576","2018","8","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"39"
"3577","2018","9","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"8"
"3578","2018","9","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"8"
"3579","2018","10","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"40"
"3580","2018","11","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"41"
"3581","2018","12","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"42"
"3582","2019","1","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"30"
"3583","2019","3","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19",NULL,"207","number","4",,"43"
"3584","2019","4","TKH-2018-000258","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-19","2019-04-25","207","number","4",,"44"
"3585","2018","7","TKH-2018-000267","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-31",NULL,"204","number","0",,"60"
"3586","2018","8","TKH-2018-000267","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-31",NULL,"204","number","0",,"39"
"3587","2018","9","TKH-2018-000267","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-31","2018-10-09","204","number","0",,"8"
"3588","2018","9","TKH-2018-000267","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-31",NULL,"204","number","0",,"8"
"3589","2018","10","TKH-2018-000267","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-31","2018-10-09","204","number","0",,"40"
"3590","2018","7","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"60"
"3591","2018","8","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"39"
"3592","2018","9","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"8"
"3593","2018","9","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"8"
"3594","2018","10","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"40"
"3595","2018","11","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"41"
"3596","2018","12","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"42"
"3597","2019","1","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"30"
"3598","2019","3","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"325","number","0",,"43"
"3599","2019","4","TKH-2018-000269","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27","2019-04-12","325","number","0",,"44"
"3600","2018","8","TKH-2018-000274","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"621","number","14",,"39"
"3601","2018","9","TKH-2018-000274","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"621","number","14",,"8"
"3602","2018","9","TKH-2018-000274","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"621","number","14",,"8"
"3603","2018","7","TKH-2018-000274","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-27",NULL,"621","number","0",,"60"
"3604","2018","8","TKH-2018-000275","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","12",,"39"
"3605","2018","9","TKH-2018-000275","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","12",,"8"
"3606","2018","9","TKH-2018-000275","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","12",,"8"
"3607","2018","7","TKH-2018-000275","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25",NULL,"621","number","0",,"60"
"3608","2018","8","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"39"
"3609","2018","9","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"8"
"3610","2018","9","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"8"
"3611","2018","10","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"40"
"3612","2018","11","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"41"
"3613","2018","12","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"42"
"3614","2019","1","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"30"
"3615","2019","3","TKH-2018-000286","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-16",NULL,"207","number","9",,"43"
"3616","2018","8","TKH-2018-000292","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-17",NULL,"708","number","7",,"39"
"3617","2018","9","TKH-2018-000292","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-17",NULL,"708","number","7",,"8"
"3618","2018","8","TKH-2018-000293","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-17",NULL,"708","number","3",,"39"
"3619","2018","9","TKH-2018-000293","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-08-17",NULL,"708","number","3",,"8"
"3620","2018","11","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"41"
"3621","2018","12","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"42"
"3622","2019","1","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"30"
"3623","2019","3","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"43"
"3624","2019","4","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"44"
"3625","2019","5","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"28"
"3626","2019","6","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"31"
"3627","2019","7","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"32"
"3628","2019","8","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"33"
"3629","2019","9","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"2"
"3630","2019","10","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"34"
"3631","2019","11","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"35"
"3632","2020","1","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","13",,"36"
"3633","2018","10","TKH-2018-000390","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-10-16",NULL,"610","number","0",,"40"
"3634","2018","11","TKH-2018-000403","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-11-23",NULL,"603","number","10",,"41"
"3635","2018","12","TKH-2018-000403","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-11-23",NULL,"603","number","10",,"42"
"3636","2019","1","TKH-2018-000403","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-11-23",NULL,"603","number","10",,"30"
"3637","2019","3","TKH-2018-000403","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-11-23",NULL,"603","number","10",,"43"
"3638","2019","1","TKH-2019-000013","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-01-22","2019-01-23","311","number","0",,"30"
"3639","2019","3","TKH-2019-000049","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-15",NULL,"318","number","0",,"43"
"3640","2019","4","TKH-2019-000049","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-15",NULL,"318","number","0",,"44"
"3641","2019","3","TKH-2019-000053","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-14",NULL,"318","number","0",,"43"
"3642","2019","4","TKH-2019-000053","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-14",NULL,"318","number","0",,"44"
"3643","2019","5","TKH-2019-000053","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-14",NULL,"318","number","0",,"28"
"3644","2019","6","TKH-2019-000053","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-14",NULL,"318","number","0",,"31"
"3645","2019","7","TKH-2019-000053","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-14","2019-08-02","318","number","0",,"32"
"3646","2019","8","TKH-2019-000053","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-14","2019-08-02","318","number","0",,"33"
"3647","2019","3","TKH-2019-000060","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-21",NULL,"409","number","8",,"43"
"3648","2019","4","TKH-2019-000060","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-21",NULL,"409","number","8",,"44"
"3649","2019","5","TKH-2019-000060","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-21",NULL,"409","number","8",,"28"
"3650","2019","6","TKH-2019-000060","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-03-21","2019-06-27","409","number","8",,"31"
"3651","2019","4","TKH-2019-000070","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-12",NULL,"404","number","0",,"44"
"3652","2019","5","TKH-2019-000070","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-12",NULL,"404","number","0",,"28"
"3653","2019","6","TKH-2019-000070","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-12",NULL,"404","number","0",,"31"
"3654","2019","7","TKH-2019-000070","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-04-12","2019-07-29","404","number","0",,"32"
