"id","year","month","casenumber","disease","item","datestart","dateend","districtcode","unit","value","annotation","sourceId"
"46","2015","9","TKH-2015-000851","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-07-27","2015-10-07","320","number","11",,"5"
"47","2015","10","TKH-2015-000851","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-07-27","2015-10-07","320","number","11",,"27"
"48","2016","9","TKH-2016-000202","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-05-27",NULL,"616","number","10",,"1"
"49","2016","10","TKH-2016-000202","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-05-27",NULL,"616","number","10",,"29"
"50","2016","11","TKH-2016-000202","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-05-27",NULL,"616","number","10",,"16"
"51","2016","12","TKH-2016-000202","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-05-27",NULL,"616","number","10",,"17"
"52","2017","1","TKH-2016-000202","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-05-27",NULL,"616","number","10",,"18"
"53","2017","2","TKH-2016-000202","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2016-05-27",NULL,"616","number","10",,"19"
"54","2019","1","TKH-2018-000275","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-07-25","2019-02-05","621","number","12",,"30"
"55","2015","9","TKH-2015-000852","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-06-12","2015-09-08","601","number","5",,"5"
"56","2017","6","TKH-2017-000177","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-04-10",NULL,"416","number","44",,"23"
"57","2017","9","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"24"
"58","2017","10","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"9"
"59","2017","11","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"10"
"60","2017","12","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"11"
"61","2018","1","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"12"
"62","2018","2","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"13"
"63","2018","3","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"14"
"64","2018","4","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24",NULL,"802","number","6",,"15"
"65","2018","5","TKH-2017-000402","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-08-24","2018-05-25","802","number","6",,"25"
"66","2019","6","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"31"
"67","2019","7","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"32"
"68","2019","8","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"33"
"69","2019","9","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"2"
"70","2019","10","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"34"
"71","2019","11","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"35"
"72","2020","1","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"36"
"73","2020","2","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"37"
"74","2020","3","TKH-2019-000239","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-06-21",NULL,"601","number","5",,"38"
