"id","disease","municipalitycode","wgs84e","wgs84n","bedatestart","begzstart","bedateend","begzend","vodatestart","vogzstart","vodateend","vogzend","annotation"
"250","American foulbrood of honey bees","61101","14.86","47.55","2004-07-14","18.2 BI 1-8-2004/3","2004-10-22","18.2 B 18.2 B 8-04/11",NULL,NULL,NULL,NULL,NULL
"251","American foulbrood of honey bees","61119","14.68","47.46","2004-08-27","18.2 Bi 1-8-2004/7","2005-11-15","18.2 B 18.2 B 8-05/5","2004-08-27","18.2 B 8-2004/7","2005-11-15","18.2 B 8-05/6",NULL
"252","American foulbrood of honey bees","61257","14.12","47.38","2004-09-30","18.2-27/99","2005-07-22","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"253","American foulbrood of honey bees","61213","13.91","47.44","2003-09-08","8.2-M4-2003","2003-10-27","8.2-M4-2003",NULL,NULL,NULL,NULL,NULL
"254","American foulbrood of honey bees","61213","13.92","47.44","2003-09-24","8.2-P8-2003","2003-10-27","8.2-P8-2003",NULL,NULL,NULL,NULL,NULL
"255","American foulbrood of honey bees","61215","13.83","47.62","2001-07-18","18.2 G 2-2001","2002-05-28","18.2 G 2-2001","2001-07-18","18.2 G 2-2001","2002-05-28","18.2 G 2-2001",NULL
"256","American foulbrood of honey bees","61259","14.24","47.57","2004-08-05","18.2-27/99","2006-09-12","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"257","American foulbrood of honey bees","61260","13.92","47.43","2003-09-24","8.2-Z2-2003","2003-10-27","8.2-Z2-2003",NULL,NULL,NULL,NULL,NULL
"258","American foulbrood of honey bees","61260","13.92","47.43","2003-09-24","8.2-W3-2003","2003-10-27","8.2-W3-2003",NULL,NULL,NULL,NULL,NULL
"259","American foulbrood of honey bees","61261","13.93","47.44","2001-07-11","not available","2002-11-13","18.2-5/2001",NULL,NULL,NULL,NULL,NULL
"260","American foulbrood of honey bees","61446","14.27","47.14","2002-07-02","8.2-Ma 10/02","2003-04-29","8.2-Ma 10/02",NULL,NULL,NULL,NULL,NULL
"261","American foulbrood of honey bees","61439","14.42","47.09","2001-05-17","18.2 Bi 21/01","2002-07-31","18.2 Bi 21/01",NULL,NULL,NULL,NULL,NULL
"262","American foulbrood of honey bees","61439","14.43","47.09","2001-05-17","8.3 Ko 28/01","2002-07-31","8.3-Ko 28/01",NULL,NULL,NULL,NULL,NULL
"263","American foulbrood of honey bees","61410","14.51","47.03","2003-07-23","8.2-4/03","2003-09-05","8.2-4/03",NULL,NULL,NULL,NULL,NULL
"264","American foulbrood of honey bees","61410","14.50","47.03","2003-07-23","8.2-4/03","2003-09-05","8.2-4/03",NULL,NULL,NULL,NULL,NULL
"265","American foulbrood of honey bees","61410","14.51","47.03","2003-07-23","8.2-4/03","2003-09-05","8.2-4/03",NULL,NULL,NULL,NULL,NULL
"266","American foulbrood of honey bees","61410","14.51","47.03","2003-07-23","8.2-4/03","2003-09-05","8.2-4/03",NULL,NULL,NULL,NULL,NULL
"267","American foulbrood of honey bees","61410","14.51","47.03","2003-07-23","8.2-4/03","2003-09-05","8.2-4/03",NULL,NULL,NULL,NULL,NULL
"268","American foulbrood of honey bees","61439","14.42","47.07","2001-05-28","18.2 Bi 21/01","2002-07-31","18.2 Bi 21/0118.2 Bi 21/01",NULL,NULL,NULL,NULL,NULL
"269","American foulbrood of honey bees","61440","14.28","47.20","2002-05-22","8.3-Sa 2/02","2002-07-09","8.3-Sa 2/02",NULL,NULL,NULL,NULL,NULL
"270","American foulbrood of honey bees","61439","14.44","47.09","2001-05-17","18.2 Bi 21/01","2002-07-31","18.2 Bi 21/01",NULL,NULL,NULL,NULL,NULL
"271","American foulbrood of honey bees","61439","14.44","47.09","2001-05-17","18.2 Bi 21/01","2002-07-31","18.2 Bi 21/01",NULL,NULL,NULL,NULL,NULL
"272","American foulbrood of honey bees","61442","14.07","47.11","2001-08-07","8.3 He 3/01","2002-10-30","8.3-He 3/01","2001-08-07","18.2 Bi 21/01","2002-10-30","18.2 Bi 21/01",NULL
"273","American foulbrood of honey bees","61756","15.72","47.27","2002-08-09","8-122-02","2002-10-28","8-122/2002",NULL,NULL,NULL,NULL,NULL
"274","American foulbrood of honey bees","61765","15.69","47.20","2002-06-21","8-183/2001","2002-10-08","8-183/01",NULL,NULL,NULL,NULL,NULL
"275","American foulbrood of honey bees","61765","15.69","47.20","2002-06-19","8-183/2001","2002-10-08","8-183/01",NULL,NULL,NULL,NULL,NULL
"276","American foulbrood of honey bees","61765","15.68","47.20","2002-06-19","8-106/2002","2002-10-08","8-106-2002",NULL,NULL,NULL,NULL,NULL
"277","American foulbrood of honey bees","61765","15.69","47.20","2002-05-16","8-94/2002","2002-10-08","8-94/2002",NULL,NULL,NULL,NULL,NULL
"278","American foulbrood of honey bees","61765","15.71","47.19","2002-06-10","8-102/2002","2002-10-08","8-102/2002",NULL,NULL,NULL,NULL,NULL
"279","American foulbrood of honey bees","61710","15.73","47.27","2002-08-09","8-122/2-02","2002-10-28","8-122/2-2002",NULL,NULL,NULL,NULL,NULL
"280","American foulbrood of honey bees","61710","15.72","47.24","2002-07-10","8-114/2002","2002-10-08","8-114/2002",NULL,NULL,NULL,NULL,NULL
"281","American foulbrood of honey bees","61763","15.53","47.33","2002-05-27","8-100/2002","2002-06-13","8-100/2002",NULL,NULL,NULL,NULL,NULL
"282","American foulbrood of honey bees","61740","15.70","47.20","2002-05-16","8-93-2002","2002-10-08","8-93-2002",NULL,NULL,NULL,NULL,NULL
"283","American foulbrood of honey bees","61761","15.48","47.22","2002-08-22","8-124/2002","2003-05-19","8-124/2002",NULL,NULL,NULL,NULL,NULL
"284","American foulbrood of honey bees","61757","15.68","47.39","2009-07-20","8-129/2009","2009-11-09","8-129/2009",NULL,NULL,NULL,NULL,NULL
"285","American foulbrood of honey bees","62036","14.44","47.21","2003-07-01","not available","2003-08-04","18.2 B2-03",NULL,NULL,NULL,NULL,NULL
"286","American foulbrood of honey bees","62141","15.48","47.43","2004-08-19","18.2-16/04","2004-10-14","18.2-16/04","2004-08-20","18.2-16/04","2004-10-14","18.2-16/04",NULL
"287","American foulbrood of honey bees","62105","15.43","47.41","2004-07-13","18.2 B1/H1-2004/2","2004-09-28","18.2 B1/H1-2004/4","2004-07-14","18.2 B1/H1-2004/2","2004-09-28","18.2 B1/H1-2004/4",NULL
"288","American foulbrood of honey bees","62143","15.68","47.58","2003-05-28","18.2-10/03","2003-08-07","18.2-10/03","2003-05-28","18.2-10/03","2003-08-07","not available",NULL
"289","American foulbrood of honey bees","62116","15.67","47.58","2003-06-06","18.2-11/03","2003-09-19","18.2-11/03","2003-06-06","18.2-11/03","2003-09-19","not available",NULL
"290","American foulbrood of honey bees","62143","15.65","47.57","2003-06-23","18.2-13/03","2003-09-19","18.2-13/03","2003-06-23","18.2-13/03","2003-09-19","not available",NULL
"291","American foulbrood of honey bees","62266","15.85","47.20","2002-05-07","8.2-498/02","2002-08-21","8.2-498/02",NULL,NULL,NULL,NULL,NULL
"292","American foulbrood of honey bees","62233","16.04","47.47","2003-07-29","8.2 1072003","2003-10-02","8.2 10/03",NULL,NULL,NULL,NULL,NULL
"293","American foulbrood of honey bees","62233","16.03","47.49","2002-06-27","8.2-513/02","2002-09-04","8.2-513/02",NULL,NULL,NULL,NULL,NULL
"294","American foulbrood of honey bees","62233","16.03","47.50","2002-06-21","8.2-510/02","2002-08-27","8.2-510/02",NULL,NULL,NULL,NULL,NULL
"295","American foulbrood of honey bees","62233","16.04","47.50","2002-06-13","8.2-505/02","2002-08-27","8.2-505/02",NULL,NULL,NULL,NULL,NULL
"296","American foulbrood of honey bees","62266","15.82","47.21","2002-03-19","8.2-495/02","2002-08-21","8.2-495/02",NULL,NULL,NULL,NULL,NULL
"297","American foulbrood of honey bees","62266","15.81","47.21","2002-05-16","8.2-500/02","2002-08-21","8.2-500/02",NULL,NULL,NULL,NULL,NULL
"298","American foulbrood of honey bees","62385","15.62","46.97","2006-10-16","not available","2007-05-04","BHFB-18.2-B8/2006-16","2006-10-16","BHFB-18.2-B8/2006-10","2007-05-04","not available",NULL
"299","American foulbrood of honey bees","62390","15.88","46.80","2004-06-07","not available","2004-09-10","18.2 B 11/30-2004","2004-06-09","18.2 B1/8-2004","2004-09-10","not available",NULL
"300","American foulbrood of honey bees","62378","16.01","46.96","2003-07-07","not available","2003-08-28","18.2 B 11/11-2003","2003-07-10","18.2 V 11/4-2003","2003-08-28","not available",NULL
"301","American foulbrood of honey bees","62381","15.64","46.92","2006-10-16","not available","2007-05-04","BHFB-18.2-B8/2006-16","2006-10-16","BHFB-18.2-B8/2006-10","2007-05-04","not available",NULL
"302","American foulbrood of honey bees","62381","15.66","46.90","2006-10-16","not available","2007-05-04","BHFB-18.2-B8/2006-16","2006-10-16","BHFB-18.2-B8/2006-10","2007-05-04","not available",NULL
"303","American foulbrood of honey bees","62390","15.87","46.84","2004-11-02","not available","2005-06-02","18.2 B 23/5-2005",NULL,NULL,NULL,NULL,NULL
"304","American foulbrood of honey bees","62390","15.87","46.82","2004-08-03","not available","2005-06-02","18.2 B 16/7-2005","2004-08-03","18.2 B16/5-2004","2005-06-02","not available",NULL
"305","American foulbrood of honey bees","62390","15.88","46.80","2004-06-07","not available","2004-09-10","18.2 B 11/28-2004","2004-06-09","18.2 B 1/8-2004","2004-09-10","not available",NULL
"306","American foulbrood of honey bees","62390","15.87","46.81","2004-06-28","not available","2004-09-10","18.2 B 11/29-2004","2004-07-01","18.2 B1/10-2004","2004-09-10","not available",NULL
"307","American foulbrood of honey bees","60350","15.27","46.86","2001-03-19","18.2 B 1/2001","2001-06-28","18.2 B 1/2001",NULL,NULL,NULL,NULL,NULL
"308","American foulbrood of honey bees","61243","14.33","47.54","2001-08-10","18.2-27/99","2001-11-05","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"309","American foulbrood of honey bees","61439","14.40","47.08","2001-05-17","18.2 Bi 21/01","2001-07-26","18.2 Bi 21/01",NULL,NULL,NULL,NULL,NULL
"310","American foulbrood of honey bees","61439","14.42","47.07","2001-05-17","18.2 Bi 21/01","2001-07-26","18.2 Bi 21/01",NULL,NULL,NULL,NULL,NULL
"311","American foulbrood of honey bees","61439","14.43","47.07","2001-05-17","18.2 Bi 21/01","2001-07-26","18.2 Bi 21/01",NULL,NULL,NULL,NULL,NULL
"312","American foulbrood of honey bees","61701","15.73","47.15","2001-06-29","8-177/2001","2001-11-20","8-177/2001",NULL,NULL,NULL,NULL,NULL
"313","American foulbrood of honey bees","61701","15.72","47.14","2001-07-02","8-178/2001","2001-11-20","8-178/2001",NULL,NULL,NULL,NULL,NULL
"314","American foulbrood of honey bees","61701","15.72","47.15","2001-05-09","8-166/2001","2001-08-07","8-166/2001",NULL,NULL,NULL,NULL,NULL
"315","American foulbrood of honey bees","61765","15.69","47.20","2001-07-12","8-183/01","2001-11-20","8-183/01",NULL,NULL,NULL,NULL,NULL
"316","American foulbrood of honey bees","61765","15.70","47.17","2001-06-18","8-173/2001","2001-11-20","8-173/2001",NULL,NULL,NULL,NULL,NULL
"317","American foulbrood of honey bees","61762","15.79","47.12","2001-07-12","8-175/2001","2001-12-07","8-175/2001",NULL,NULL,NULL,NULL,NULL
"318","American foulbrood of honey bees","61762","15.79","47.12","2001-07-12","8-175/2001","2001-12-07","8-175/2001",NULL,NULL,NULL,NULL,NULL
"319","American foulbrood of honey bees","61729","15.64","47.15","2001-08-10","8-192/2001","2001-12-07","8-192/2001",NULL,NULL,NULL,NULL,NULL
"320","American foulbrood of honey bees","61748","15.82","47.09","2001-08-10","not available","2002-03-15","8-193/2001","2001-08-10","8-193/2001",NULL,NULL,NULL
"321","American foulbrood of honey bees","61748","15.84","47.10","2001-06-21","8-175/2001","2001-12-07","8-175/2001",NULL,NULL,NULL,NULL,NULL
"322","American foulbrood of honey bees","61748","15.86","47.11","2001-06-21","8-175/2001","2001-12-07","8-175/2001",NULL,NULL,NULL,NULL,NULL
"323","American foulbrood of honey bees","61748","15.83","47.10","2001-07-12","8-175/2001","2001-12-07","8-175/2001",NULL,NULL,NULL,NULL,NULL
"324","American foulbrood of honey bees","61748","15.80","47.11","2001-07-12","8-175/2001","2001-12-07","8-175/2001",NULL,NULL,NULL,NULL,NULL
"325","American foulbrood of honey bees","61748","15.80","47.09","2001-07-02","8-175/2001","2001-12-07","8-175/2001",NULL,NULL,NULL,NULL,NULL
"326","American foulbrood of honey bees","62271","15.88","47.11","2001-04-17","8.2 L 83-2001","2001-11-21","8.2 L 83-2001",NULL,NULL,NULL,NULL,NULL
"327","American foulbrood of honey bees","62271","15.88","47.10","2001-04-17","8.2 I 37-2001","2001-11-21","8.2 I 37-2001",NULL,NULL,NULL,NULL,NULL
"328","American foulbrood of honey bees","61257","14.08","47.49","2000-10-23","18.2-27/99","2001-08-29","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"329","American foulbrood of honey bees","61255","13.99","47.55","2000-05-17","18.2-27/99","2001-04-25","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"330","American foulbrood of honey bees","61444","14.44","47.15","2000-07-01","not available","2000-10-02","18.2 Bi 32/00",NULL,NULL,NULL,NULL,NULL
"331","American foulbrood of honey bees","61444","14.44","47.15","2000-07-01","not available","2000-10-02","18.2 Bi 32/00",NULL,NULL,NULL,NULL,NULL
"332","American foulbrood of honey bees","61444","14.44","47.15","2000-07-01","not available","2000-10-02","18.2 Bi 32/00",NULL,NULL,NULL,NULL,NULL
"333","American foulbrood of honey bees","61444","14.46","47.15","2000-07-12","18.2 Bi 32/00","2000-10-02","18.2 Bi 32/00",NULL,NULL,NULL,NULL,NULL
"334","American foulbrood of honey bees","61444","14.44","47.15","2000-07-12","18.2 Bi 32/00","2000-10-02","18.2 Bi 32/00",NULL,NULL,NULL,NULL,NULL
"335","American foulbrood of honey bees","62265","16.02","47.40","2000-08-04","8.2-425/00","2000-10-12","8.2-425/00",NULL,NULL,NULL,NULL,NULL
"336","American foulbrood of honey bees","62245","15.96","47.44","2000-06-05","8.2-412/00","2000-10-13","8.2-412/00",NULL,NULL,NULL,NULL,NULL
"337","American foulbrood of honey bees","62245","15.95","47.44","2000-06-05","8.2-410/00","2000-10-13","8.2-410/00",NULL,NULL,NULL,NULL,NULL
"338","American foulbrood of honey bees","62265","15.99","47.41","2000-08-04","8.2-426/00","2000-10-13","8.2-426/00",NULL,NULL,NULL,NULL,NULL
"339","American foulbrood of honey bees","62265","15.99","47.42","2000-06-05","8.2-411/00","2000-10-13","8.2-411/00",NULL,NULL,NULL,NULL,NULL
"340","American foulbrood of honey bees","62277","15.98","47.39","2014-04-11","8.2.-16/2014","2014-10-07","not available","2014-04-11","not available","2014-10-07","not available",NULL
"341","American foulbrood of honey bees","60646","15.42","47.17","2014-05-06","18.2B7/Go1/1-2014","2014-07-09","18.2B7/Go1/5-2014","2014-05-06","18.2B7/Go1/1-2014",NULL,"18.2B7/Go1/5-2014",NULL
"342","American foulbrood of honey bees","61440","14.30","47.20","2020-05-13","BHMU-84050/2020-3","2021-05-26","BHMU-84050/2020-7","2020-05-13","BHMU-84050/2020-4","2021-05-26","BHMU-84050/2020-4",NULL
"343","American foulbrood of honey bees","62143","15.70","47.58","2014-05-19","18.21 7-2013/31","2014-08-13","18.21 7-2013/31","2014-05-14","18.21 7-2013/31","2014-08-13","18.21 7-2013/31",NULL
"344","American foulbrood of honey bees","61439","14.48","47.07","2014-05-20","8.2-19/2014, 8.2-20/2014","2016-08-26","BHMU-6285/2016-2","2014-05-20","8.2-19/2014, 8.2-20/2014","2016-08-26","BHMU-6285/2016-3",NULL
"345","American foulbrood of honey bees","61446","14.27","47.14","2014-05-21","8.2-21/2014","2015-06-08","8.2-21/2014","2014-05-21","8.2-21/2014","2015-06-10","8.2-21/2014",NULL
"346","American foulbrood of honey bees","61443","14.28","47.05","2014-05-21","8.2-22/2014","2015-06-08","8.2-22/2014","2014-05-21","8.2-22/2014","2015-06-10","8.2-22/2014",NULL
"347","American foulbrood of honey bees","62278","15.91","47.41","2014-05-28","8.2-31/14","2014-09-08","8.2-31/2014","2014-05-28","not available","2014-09-08","not available",NULL
"348","American foulbrood of honey bees","62278","15.89","47.40","2014-05-28","8.2-32/2014","2015-04-30","8.2-32/2014","2014-05-28","not available","2015-04-30","not available",NULL
"349","American foulbrood of honey bees","62278","15.89","47.41","2014-05-28","8.2-33/14","2014-09-08","8.2-33/2014","2014-05-28","not available","2014-09-08","not available",NULL
"350","American foulbrood of honey bees","60101","15.41","47.03","2011-12-28","A7-49745/2011-3","2012-01-11","A7-49745/2011-12",NULL,NULL,NULL,NULL,NULL
"351","American foulbrood of honey bees","60642","15.49","47.18","2011-09-12","18.2B6/53-2011","2013-09-12","not available","2011-09-12","18.2B6/53-2011",NULL,NULL,NULL
"352","American foulbrood of honey bees","62388","15.74","46.83","2011-05-16","18.9.T8/2011-3","2011-09-20","18.9.T8/2011-7",NULL,NULL,NULL,NULL,NULL
"353","American foulbrood of honey bees","61109","14.84","47.40","2011-08-04","18.2 B 27-2011/3","2013-08-04","not available","2011-08-04","18.2 B 27-2011/4",NULL,NULL,NULL
"354","American foulbrood of honey bees","61256","14.55","47.49","2011-06-01","18.2-27/99","2011-09-30","not available",NULL,NULL,NULL,NULL,NULL
"355","American foulbrood of honey bees","61256","14.57","47.49","2011-06-20","18.2-27/99","2014-05-28","18.2-1/2014",NULL,NULL,NULL,NULL,NULL
"356","American foulbrood of honey bees","61061","15.69","46.73","2011-04-19","18.9.R1/2011-4","2011-06-09","18.9.R1/2011-9",NULL,NULL,NULL,NULL,NULL
"357","American foulbrood of honey bees","62386","15.92","47.05","2010-07-12","BHFB-18.2B41/2010-4","2011-06-07","BHFB-18.2B41/2011-15",NULL,NULL,NULL,NULL,NULL
"358","American foulbrood of honey bees","61021","15.54","46.83","2011-04-15","12.2.2.24-2011","2011-06-10","12.2.2.24-2011",NULL,NULL,NULL,NULL,NULL
"359","American foulbrood of honey bees","61757","15.71","47.35","2011-05-03","8-124/2011","2011-06-16","8-124/2011",NULL,NULL,NULL,NULL,NULL
"360","American foulbrood of honey bees","62143","15.66","47.63","2014-06-03","18.21 7-2013/34","2014-08-14","18.21 7-2013/34","2014-06-03","18.21 7-2013/34","2014-08-14","18.21 7-2013/34",NULL
"361","American foulbrood of honey bees","62143","15.69","47.59","2009-09-15","18.2-29/2009","2010-07-16","18.2-29/2009","2009-09-15","18.2-29/2009","2010-07-19","18.2-29/2009",NULL
"362","American foulbrood of honey bees","61222","14.23","47.54","2010-07-19","18.2-27/99","2012-07-19","not available",NULL,NULL,NULL,NULL,NULL
"363","American foulbrood of honey bees","61440","14.36","47.17","2010-06-01","8.2-139/2010","2010-10-08","8.2-139/2010","2010-06-02","8.2-139/2010","2010-10-08","8.2-139/2010",NULL
"364","American foulbrood of honey bees","62105","15.52","47.40","2010-05-21","not available","2010-07-21","not available","2010-05-21","18.2B1/R1-2010/8","2010-07-21","not available",NULL
"365","American foulbrood of honey bees","62105","15.46","47.39","2010-05-10","not available","2010-07-10","not available","2010-05-10","18.2B1/P1-2010/9","2010-07-10","not available",NULL
"366","American foulbrood of honey bees","61701","15.73","47.16","2009-11-20","8-212/2009","2010-09-13","8-212/2009",NULL,NULL,NULL,NULL,NULL
"367","American foulbrood of honey bees","62388","15.75","46.83","2009-08-10","18.2.B2-2006-38","2009-10-14","18.2.B2-2006-38","2009-08-12","18.2.B2/2006-33","2009-10-14","not available",NULL
"368","American foulbrood of honey bees","62041","14.84","47.21","2019-08-14","BHMT-84974/2019-",NULL,NULL,"2019-08-14","BHMT-84974/2019-6","2020-08-14","not available",NULL
"369","American foulbrood of honey bees","62388","15.74","46.83","2009-08-25","not available","2009-10-14","18.2.B2-2006-37","2009-08-25","18.2.B2/2006-34","2009-10-14","not available",NULL
"370","American foulbrood of honey bees","61410","14.45","47.03","2014-06-13","8.2-30/2014, 8.2-31/2014, 8.2-32/2014, 8.2-33/2014","2016-09-02","BHMU-6479/2016-3","2014-06-13","8.2-30/2014, 8.2-31/2014, 8.2-32/2014, 8.2-33/2014","2016-09-02","BHMU-6479/2016-4",NULL
"371","American foulbrood of honey bees","61012","15.58","46.82","2022-04-20","not available","2022-06-30","not available","2022-04-20","BHLB-390399/2022-5","2022-06-30","BHLB-390399/2022-16",NULL
"372","American foulbrood of honey bees","60101","15.42","47.08","2014-06-23","A7VET-032886/2014-6","2014-10-30","A7VET-32886/2014-108","2014-06-23","A7VET-032886/2014-14","2014-10-30","not available",NULL
"373","American foulbrood of honey bees","62389","15.69","46.90","2014-07-11","BHSO-18.23-1/2014-15","2014-10-07","BHSO-18.23-4/2014-13","2014-07-11","BHSO-18.23-1/2014-14","2014-10-07","BHSO-18.23-4/2014-14",NULL
"374","American foulbrood of honey bees","60645","15.42","47.24","2014-07-09","18.2B7/Pe1/1-2014","2014-10-17","18.2B7/Pe1/3-2014","2014-07-09","18.2B7/Pe1/1-2014","2014-10-17","18.2B7/Pe1/3-2014",NULL
"375","American foulbrood of honey bees","60664","15.29","47.14","2022-06-15","BHGU-494798/2022-6",NULL,NULL,"2022-06-15","BHGU-494798/2022-9",NULL,NULL,NULL
"376","American foulbrood of honey bees","61258","14.75","47.60","2014-09-16","not available","2015-07-28","18.2-1/2014","2014-09-16","18.2 B 18-2014/15","2015-07-28","not available",NULL
"377","American foulbrood of honey bees","61258","14.75","47.60","2014-09-22","18.2 B 18-2014/4","2015-07-28","18.2-1/2014","2014-09-22","18.2 B 18-2014/5","2015-07-28","not available",NULL
"378","American foulbrood of honey bees","62145","15.47","47.54","2014-09-16","18.21 7/2013/59","2014-12-01","18.21 7/2013/59","2014-09-16","18.21 7-2013/59","2014-11-26","18.21 7-2013/59",NULL
"379","American foulbrood of honey bees","62141","15.45","47.54","2014-08-04","18.21 7-2013/58","2014-10-10","18.21 7-2013/58","2014-08-05","18.21 7-2013/58","2014-10-10","18.21 7-2013/58",NULL
"380","American foulbrood of honey bees","61258","14.75","47.61","2014-10-16","18.2 B 19-2014/4","2015-07-28","18.2-1/2014","2014-10-24","18.2 B 19-2014/5","2015-07-28","not available",NULL
"381","American foulbrood of honey bees","60351","15.20","46.74","2014-10-22","8.2 M 11/2014","2015-05-12","8.2 M 11/2014","2014-10-22","8.2 M 11/2014","2015-05-12","8.2 M 11/2014",NULL
"382","American foulbrood of honey bees","62140","15.31","47.46","2015-04-29","18.21 7-2013/70","2015-07-14","18.21 7-2013/70","2015-04-29","18.21 7-2013/70","2015-07-14","18.21 7-2013/70",NULL
"383","American foulbrood of honey bees","62141","15.42","47.47","2015-05-08","18.21 7-2013/71","2015-07-20","18.21 7-2013/71","2015-05-08","18.21 7-2013/71","2015-07-20","18.21 7-2013/71",NULL
"384","American foulbrood of honey bees","62141","15.41","47.47","2015-05-18","18.21 7-2013/73","2015-09-23","18.21 7-2013/73","2015-05-18","18.21 7-2013/73","2015-09-23","18.21 7-2013/73",NULL
"385","American foulbrood of honey bees","62380","15.76","46.90","2015-05-18","BHSO-18.23-5/2015-3","2015-08-07","BHSO-18.23-5/2015-7","2015-05-15","BHSO-18.23-5/2015-4","2015-08-07","BHSO-18.23-5/2015-8",NULL
"386","American foulbrood of honey bees","61120","15.02","47.43","2015-05-18","18.2 B 17-2015/6","2015-09-30","18.2 B 17-2015/10","2015-05-18","18.2 B 17-2015/7","2015-09-30","18.2 B 17-2015/9",NULL
"387","American foulbrood of honey bees","60663","15.31","47.27","2015-06-16","18.2B7/Sta1/1-2015","2015-11-11","18.2B7/Sta1/3-2015","2015-06-16","18.2B7/Sta1/1-2015","2015-11-11","18.2B7/Sta1/3-2015",NULL
"388","American foulbrood of honey bees","60101","15.44","47.03","2015-06-19","not available","2015-09-14","not available","2015-06-19","A7Vet-103100/2015/0017","2015-09-14","not available",NULL
"389","American foulbrood of honey bees","61443","14.33","47.11","2015-06-16","8.2-16/2015","2016-06-07","not available","2015-06-16","8.2-16/2015","2016-06-07","BHMU-6321/2016-4",NULL
"390","American foulbrood of honey bees","61106","14.94","47.41","2015-07-24","18.2 B19-2015/7","2016-09-15","BHLN-163308/2016-2","2015-07-20","18.2 B19-2015/6","2016-09-15","BHLN-163308/2016-3",NULL
"391","American foulbrood of honey bees","61106","14.94","47.41","2015-07-24","18.2 B18-2015/7","2016-09-15","BHLN-163308/2016-2","2015-07-20","18.2 B18-2015/6","2016-09-15","BHLN-163308/2016-3",NULL
"392","American foulbrood of honey bees","62116","15.57","47.60","2015-08-10","18.21 7-2013/89","2016-04-21","18.21 7-2013/89","2015-08-10","18.21 7-2013/89","2016-04-21","18.21 7-2013/89",NULL
"393","American foulbrood of honey bees","62146","15.37","47.46","2015-08-24","18.21 7-2013/93","2016-04-22","18.21 7-2013/93","2015-08-24","18.21 7-2013/93","2016-04-22","18.21 7-2013/93",NULL
"394","American foulbrood of honey bees","62128","15.35","47.49","2015-08-24","18.21 7-2013/91","2016-04-22","18.21 7-2013/93","2015-08-24","18.21 7-2013/91","2016-04-22","18.21 7-2013/93",NULL
"395","American foulbrood of honey bees","61625","15.13","47.05","2015-09-27","8.2-15/2015",NULL,NULL,"2015-09-27","8.2-15/2015","2016-04-15","BHVO-96138/2016-2",NULL
"396","American foulbrood of honey bees","61115","14.97","47.32","2015-09-14","18.2 B20/4-2015/7","2016-06-15","BHLN-49033/2016-1","2015-09-14","18.2 B20-2015/3","2016-06-17","BHLN-49033/2016-2",NULL
"397","American foulbrood of honey bees","62145","15.51","47.53","2015-10-05","not available","2016-07-01","18.21 7-2013/96","2015-10-05","18.21 7-2013/96","2016-07-01","18.21 7-2013/96",NULL
"398","American foulbrood of honey bees","61267","14.08","47.53","2013-05-13","not available","2015-09-30","18.2-1/2014",NULL,NULL,NULL,NULL,NULL
"399","American foulbrood of honey bees","61255","13.88","47.57","2021-09-14","BHLI-270059/2021-5","2022-07-12","BHLI-270059/2021-23",NULL,NULL,NULL,NULL,NULL
"400","American foulbrood of honey bees","61441","14.06","47.17","2016-04-14","BHMU-111065/2016-4","2019-10-22","BHMU-111065/2016-10","2016-04-14","BHMU-111065/2016-5","2019-10-22","BHMU-111065/2016-11",NULL
"401","American foulbrood of honey bees","61107","14.94","47.32","2016-04-13","BHLN-111320/2016-4","2016-06-15","BHLN-111320/2016-6","2016-04-14","BHLN-111320/2016-5","2016-06-17","BHLN-111320/2016-7",NULL
"402","American foulbrood of honey bees","62380","15.85","46.85","2016-04-21","BHSO-114090/2016-2","2016-11-09","BHSO-114090/2016-8","2016-04-21","BHSO-114090/2016-3",NULL,NULL,NULL
"403","American foulbrood of honey bees","61615","15.28","46.97","2016-05-04","BHVO-116512/2016-2",NULL,NULL,"2016-05-04","BHVO-116512/2016-4","2016-08-12","BHVO-116512/2016-10",NULL
"404","American foulbrood of honey bees","62143","15.67","47.61","2016-05-09","BHBM-62978/2016-7",NULL,NULL,"2016-05-10","BHBM-112298/2016-5","2016-09-05","BHBM-112298/2016-14",NULL
"405","American foulbrood of honey bees","61745","15.57","47.35","2016-05-06","BHWZ-116878/2016-4","2016-09-20","BHWZ-116878/2016-13","2016-05-09","BHWZ-116878/2016-5",NULL,NULL,NULL
"406","American foulbrood of honey bees","61745","15.58","47.33","2016-05-17","BHWZ-123642/2016-4","2016-09-20","BHWZ-123642/2016-11",NULL,NULL,NULL,NULL,NULL
"407","American foulbrood of honey bees","61745","15.57","47.33","2016-05-17","BHWZ-123646/2016-4","2016-09-20","BHWZ-123646/2016-11",NULL,NULL,NULL,NULL,NULL
"408","American foulbrood of honey bees","61257","14.04","47.49","2016-05-25","BHLI-13822/2016-5","2017-07-31","BHLI-13822/2016-5",NULL,NULL,NULL,NULL,NULL
