"id","disease","municipalitycode","wgs84e","wgs84n","bedatestart","begzstart","bedateend","begzend","vodatestart","vogzstart","vodateend","vogzend","annotation"
"130","American foulbrood of honey bees","62148","15.08","47.50","2011-05-31","18.2 B1/I 1-2011/6","2012-06-18","18.2 B1/I 1-2012/14","2011-05-31","18.2 B1/I 1-2011/7","2012-06-18","18.2 B1/I 1-2012/15",NULL
"131","American foulbrood of honey bees","62148","15.07","47.51","2011-07-11","18.2 B1/F 1-2011/6","2012-06-18","18.2 B1/F 1-2012/11","2011-07-11","18.2 B1/F 1-2011/7","2012-06-18","18.2 B1/F 1-2012/12",NULL
"132","American foulbrood of honey bees","62148","15.09","47.52","2011-07-08","18.2 B1/H 2-2011/6","2012-06-18","18.2 B1/H 2-2012/12","2011-07-08","18.2 B1/H 2.2011/7","2012-06-18","18.2 B1/H 2-2012/13",NULL
"133","American foulbrood of honey bees","62148","15.07","47.51","2011-07-08","18.2 B1/H 1-2011/6","2012-06-18","18.2 B1/H 1-2012/10","2011-07-08","18.2 B1/H 1-2011/7","2012-06-18","18.2 B1/H 1-2012/11",NULL
"134","American foulbrood of honey bees","62148","15.09","47.54","2011-08-11","18.2 B1/L 1-2011/7","2012-07-10","18.2 B1/L 1-2012/12","2011-08-11","18.2 B1/L 1-2011/8","2012-07-10","18.2 B1/L 1-2012/13",NULL
"135","American foulbrood of honey bees","62148","15.08","47.52","2011-07-12","18.2 B1/K 1-2011/7","2012-07-18","18.2 B1/K 1-2012/12","2012-07-12","18.2 B1/K 1-2011/8","2012-07-18","18.2 B1/K 1-2012/13",NULL
"136","American foulbrood of honey bees","62148","15.08","47.51","2011-07-08","18.2 B1/R2-2011/6","2012-08-21","18.2 B1/R2-2012/16","2011-07-08","18.2 B1/R2-2011/7","2012-08-21","18.2 B1/R2-2012/17",NULL
"137","American foulbrood of honey bees","62132","15.53","47.47","2011-11-03","18.2-18/2011","2012-07-30","18.2-178/2011",NULL,NULL,NULL,NULL,NULL
"138","American foulbrood of honey bees","62262","15.78","47.41","2011-04-20","8.2.2-32/2011","2012-01-18","8.2.2-32/2011",NULL,NULL,NULL,NULL,NULL
"139","American foulbrood of honey bees","61106","14.94","47.41","2011-06-08","18.2 B22-2011/3","2011-11-15","18.2 B22-2011/6","2011-06-08","18.2 B22-2011/3","2011-11-18","18.2 B22-2011/7",NULL
"140","American foulbrood of honey bees","61109","14.83","47.40","2011-06-08","18.2 B20-2011/3","2011-11-15","18.2 B24-2011/6","2011-06-09","18.2 B20-2011/4","2011-11-18","18.2 B20-2011/7",NULL
"141","American foulbrood of honey bees","61105","14.76","47.43","2011-06-08","18.2 B20-2011/3","2011-11-15","18.2 B24-2011/6","2011-06-09","18.2 B20-2011/4","2011-11-18","18.2 B20-2011/7",NULL
"142","American foulbrood of honey bees","61708","15.67","47.41","2011-05-24","8-131/2011","2011-08-25","8-131/2011",NULL,NULL,NULL,NULL,NULL
"143","American foulbrood of honey bees","61757","15.43","47.34","2011-06-01","8-135/2011","2011-07-22","8-135/2011",NULL,NULL,NULL,NULL,NULL
"144","American foulbrood of honey bees","61708","15.67","47.41","2011-05-24","8-131/2011","2011-08-25","8-131/2011",NULL,NULL,NULL,NULL,NULL
"145","American foulbrood of honey bees","61757","15.70","47.34","2011-04-22","8-115/2011","2011-06-30","8-115/2011",NULL,NULL,NULL,NULL,NULL
"146","American foulbrood of honey bees","61119","14.70","47.44","2010-08-30","18.2 B25-2010/3","2011-10-20","18.2 B25-2010/6","2010-08-30","18.2 B25-2010/4","2011-10-20","not available",NULL
"147","American foulbrood of honey bees","61119","14.69","47.44","2010-08-25","18.2 B24-2010/3","2011-10-20","not available","2010-08-25","18.2 B24-2010/4",NULL,"18.2 B24-2010/6",NULL
"148","American foulbrood of honey bees","61119","14.69","47.44","2010-08-20","18.2 B26-2010/3","2011-10-20","18.2 B26-2010/6","2010-08-30","18.2 B26-2010/4","2011-10-20","not available",NULL
"149","American foulbrood of honey bees","60659","15.24","47.20","2009-05-19","18 B 4/2009","2009-06-05","18 B 4/2009",NULL,NULL,NULL,NULL,NULL
"150","American foulbrood of honey bees","60651","15.25","47.22","2009-03-25","18 B 4/2009","2009-05-29","18 B 4/2009",NULL,NULL,NULL,NULL,NULL
"151","American foulbrood of honey bees","61257","14.08","47.50","2009-08-24","18.2-27/99","2010-09-24","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"152","American foulbrood of honey bees","61757","15.67","47.39","2009-09-19","8-180/2009","2010-07-27","8-180/2009",NULL,NULL,NULL,NULL,NULL
"153","American foulbrood of honey bees","61757","15.63","47.40","2009-05-26","8-108/2009","2010-06-30","8-108/2009",NULL,NULL,NULL,NULL,NULL
"154","American foulbrood of honey bees","62115","15.55","47.55","2009-05-25","18.2-11/2009","2009-09-01","18.2-11/2009","2009-05-25","18.2-11/2009","2009-09-01","18.2-11/09",NULL
"155","American foulbrood of honey bees","62115","15.53","47.54","2009-06-22","18.2-20/2009","2009-10-01","18.2-20/2009","2009-06-22","18.2-20/2009","2009-10-01","18.2-20/2009",NULL
"156","American foulbrood of honey bees","62131","15.80","47.62","2009-08-25","18.2-12/2009","2009-10-01","18.2-12/2009","2009-05-25","18.2-12/2009","2009-10-01","18.2-12/2009",NULL
"157","American foulbrood of honey bees","62131","15.83","47.59","2009-06-16","18.2-19/2009-2","2009-10-01","18.2-19/2009-2","2009-06-12","18.2-19/2009-2","2009-10-01","18.2-19/2009-2",NULL
"158","American foulbrood of honey bees","62131","15.79","47.62","2009-06-16","18.2-19/2009-1","2009-10-01","18.2-19/2009-1","2009-06-16","18.2-19/2009-1","2009-10-01","18.2-19/2009-1",NULL
"159","American foulbrood of honey bees","62278","15.84","47.45","2009-08-21","18.2.2-13/2009-2","2010-07-26","18.2.2-13/2009",NULL,NULL,NULL,NULL,NULL
"160","American foulbrood of honey bees","62262","15.76","47.43","2009-08-12","8.2.2-13/2009","2010-07-26","18.2.2-13/2009",NULL,NULL,NULL,NULL,NULL
"161","American foulbrood of honey bees","62376","15.97","46.69","2009-09-25","not available","2010-03-24","18.2.B2/2006-35, 8.2-29/2009","2009-09-25","18.2.B2/2006-35, 8.2-29/2009",NULL,NULL,NULL
"162","American foulbrood of honey bees","61002","15.43","46.68","2008-05-21","18.2.2.24-2008","2008-09-04","18.2.2.24-2008","2008-05-27","18.2.2.24-2008","2008-09-04","not available",NULL
"163","American foulbrood of honey bees","61012","15.58","46.81","2008-10-02","18.2.2.24-2008","2009-05-22","18.2.2.24-2009",NULL,NULL,NULL,NULL,NULL
"164","American foulbrood of honey bees","61054","15.42","46.67","2008-06-09","18.2.2.24-2008","2008-09-04","18.2.2.24-2008","2008-06-10","18.2.2.24-2008","2008-09-04","not available",NULL
"165","American foulbrood of honey bees","61257","14.08","47.49","2008-05-19","18.2-27/99","2008-07-30","18.2-27/99",NULL,NULL,NULL,NULL,NULL
"166","American foulbrood of honey bees","61439","14.39","47.00","2008-06-06","8.2-16/2008","2008-09-22","8.2-16/2008","2008-06-06","8.2-13/2008","2008-09-25","8.2-13/2008",NULL
"167","American foulbrood of honey bees","61446","14.29","47.13","2008-05-20","8.2-13/2008","2008-09-22","8.2-13/2008","2008-05-20","8.2-13/2008","2008-09-25","8.2-13/2008",NULL
"168","American foulbrood of honey bees","61446","14.27","47.15","2008-05-30","8.2-13/2008","2008-09-22","8.2-13/2008","2008-05-30","8.2-13/2008","2008-09-25","8.2-13/2008",NULL
"169","American foulbrood of honey bees","61446","14.30","47.13","2008-05-30","not available","2008-09-25","not available","2008-05-30","8.2-13/2008","2008-09-25","8.2-13/2008",NULL
"170","American foulbrood of honey bees","61757","15.69","47.39","2008-09-01","8-305/2008","2009-06-02","8-305/2008",NULL,NULL,NULL,NULL,NULL
"171","American foulbrood of honey bees","61757","15.66","47.38","2008-09-01","8-304/2008","2009-06-02","8-304/2008",NULL,NULL,NULL,NULL,NULL
"172","American foulbrood of honey bees","61757","15.66","47.38","2008-09-01","8-306/2008","2009-07-08","8-306/2008",NULL,NULL,NULL,NULL,NULL
"173","American foulbrood of honey bees","61757","15.67","47.39","2008-08-13","8-301/2008","2009-07-08","8-301/2008",NULL,NULL,NULL,NULL,NULL
"174","American foulbrood of honey bees","62115","15.57","47.56","2008-08-19","18.2-24/2008","2008-11-06","18.2-24/2008",NULL,NULL,NULL,NULL,NULL
"175","American foulbrood of honey bees","62115","15.56","47.56","2008-09-03","18.2-25/2008","2009-04-20","18.2-25/2008","2008-09-03","18.2-25/2008","2009-04-20","18.2-25/2008",NULL
"176","American foulbrood of honey bees","62116","15.61","47.56","2008-08-12","18.2-23/2008","2008-10-09","18.2-23/20078","2008-08-12","18.2-23/2008","2008-10-09","18.2-23/2008",NULL
"177","American foulbrood of honey bees","62116","15.61","47.57","2008-07-29","18.2-19/2008","2009-04-20","18.2-19/2008","2008-06-29","18.2-19/2008","2009-04-20","18.2-19/2008",NULL
"178","American foulbrood of honey bees","62268","15.97","47.36","2008-08-26","8.2.1-38/2008","2008-11-17","8.2-1-38/2008",NULL,NULL,NULL,NULL,NULL
"179","American foulbrood of honey bees","62268","15.94","47.36","2008-06-19","8.2.1-21/2008","2009-08-19","8.2.1-31/2008","2008-09-18","8.2.-31/2008","2009-08-19","not available",NULL
"180","American foulbrood of honey bees","62268","15.94","47.35","2008-08-26","8.2.1-36/2008","2008-11-17","8.2.1-36/2008",NULL,NULL,NULL,NULL,NULL
"181","American foulbrood of honey bees","62268","15.96","47.33","2008-08-26","8.2.1-37/2008","2009-05-19","8.2.1-37/2008",NULL,NULL,NULL,NULL,NULL
