"îd","format","reference"
"13","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2018,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Februar} 2018},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Februar2018.pdf?92t2w5},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = mar,
	year = {2018},
}
"
"14","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2018,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {März} 2018},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Maerz2018.pdf?92t2w5},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = apr,
	year = {2018},
}
"
"15","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2018,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {April} 2018},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_April_2018.pdf?92t2yo},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = may,
	year = {2018},
}
"
"16","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2016,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {November} 2016},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_November_2016.pdf?92t2ik},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = dec,
	year = {2016},
}
"
"17","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Dezember} 2016},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Dezember_2016.pdf?92t2ik},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jan,
	year = {2017},
}
"
"18","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Januar} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBJaenner_AT_2017.pdf?92t2ld},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = feb,
	year = {2017},
}
"
"19","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Februar} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBFebrua_AT_2017.pdf?92t2qq},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = mar,
	year = {2017},
}
"
"20","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {März} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Maerz2017.pdf?92t2ud},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = apr,
	year = {2017},
}
"
"21","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {April} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBApril_AT2017.pdf?92t2xx},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = may,
	year = {2017},
}
"
"22","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Mai} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Mai2017.pdf?92t30o},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jun,
	year = {2017},
}
"
