"id","year","month","casenumber","disease","animalspecies","datestart","dateend","country","nuts","districtcode","postcode","unit","value","annotation","sourceid"
"43","2015","7","TKH-2015-000822","American foulbrood of honey bees","1341976","2015-07-14","2015-09-14","AUT","AT12","311",NULL,"number","1",NULL,"5"
"44","2015","7","TKH-2015-000823","American foulbrood of honey bees","1341976","2015-07-21","2015-09-22","AUT","AT12","305",NULL,"number","1",NULL,"5"
"45","2015","7","TKH-2015-000824","American foulbrood of honey bees","1341976","2015-07-21","2015-09-22","AUT","AT12","305",NULL,"number","1",NULL,"5"
"46","2015","7","TKH-2015-000825","American foulbrood of honey bees","1341976","2015-07-13","2016-09-19","AUT","AT22","611",NULL,"number","1",NULL,"61"
"47","2015","7","TKH-2015-000826","American foulbrood of honey bees","1341976","2015-07-13","2016-09-15","AUT","AT22","611",NULL,"number","1",NULL,"61"
"48","2015","7","TKH-2015-000827","American foulbrood of honey bees","1341976","2015-07-13",NULL,"AUT","AT33","703",NULL,"number","1",NULL,"3"
"49","2015","7","TKH-2015-000830","American foulbrood of honey bees","1341976","2015-07-10","2017-02-13","AUT","AT32","504",NULL,"number","1",NULL,"61"
"50","2015","7","TKH-2015-000831","American foulbrood of honey bees","1341976","2015-07-13","2016-04-04","AUT","AT12","312",NULL,"number","1",NULL,"56"
"51","2015","7","TKH-2015-000832","American foulbrood of honey bees","1341976","2015-07-15","2015-08-11","AUT","AT12","308",NULL,"number","1",NULL,"4"
"52","2015","7","TKH-2015-000833","American foulbrood of honey bees","1341976","2015-07-15","2015-09-09","AUT","AT12","308",NULL,"number","1",NULL,"5"
"53","2015","7","TKH-2015-000834","American foulbrood of honey bees","1341976","2015-07-15",NULL,"AUT","AT12","308",NULL,"number","1",NULL,"56"
"54","2015","7","TKH-2015-000835","American foulbrood of honey bees","1341976","2015-07-15","2015-09-09","AUT","AT12","308",NULL,"number","1",NULL,"5"
"55","2015","7","TKH-2015-000836","American foulbrood of honey bees","1341976","2015-07-13","2016-09-27","AUT","AT12","323",NULL,"number","1",NULL,"59"
"56","2015","7","TKH-2015-000838","American foulbrood of honey bees","1341976","2015-07-18","2015-10-12","AUT","AT12","325",NULL,"number","1",NULL,"27"
"57","2015","7","TKH-2015-000839","American foulbrood of honey bees","1341976","2015-07-18","2015-10-12","AUT","AT12","325",NULL,"number","1",NULL,"27"
"58","2015","7","TKH-2015-000842","American foulbrood of honey bees","1341976","2015-07-27","2016-06-27","AUT","AT33","703",NULL,"number","1",NULL,"61"
"59","2015","7","TKH-2015-000844","American foulbrood of honey bees","1341976","2015-07-17","2015-09-23","AUT","AT31","417",NULL,"number","1",NULL,"5"
"60","2015","7","TKH-2015-000845","American foulbrood of honey bees","1341976","2015-07-17","2015-09-23","AUT","AT31","417",NULL,"number","1",NULL,"5"
"61","2015","7","TKH-2015-000846","American foulbrood of honey bees","1341976","2015-07-17","2015-09-23","AUT","AT31","417",NULL,"number","1",NULL,"5"
"62","2015","7","TKH-2015-000848","American foulbrood of honey bees","1341976","2015-07-24","2015-11-09","AUT","AT12","309",NULL,"number","1",NULL,"51"
"63","2015","7","TKH-2015-000849","American foulbrood of honey bees","1341976","2015-07-24","2015-09-22","AUT","AT12","305",NULL,"number","1",NULL,"5"
"64","2015","7","TKH-2015-000851","American foulbrood of honey bees","1341976","2015-07-27","2015-10-07","AUT","AT12","320",NULL,"number","1",NULL,"27"
"65","2015","6","TKH-2015-000852","American foulbrood of honey bees","1341976","2015-06-12","2015-09-08","AUT","AT22","601",NULL,"number","1",NULL,"5"
"66","2015","7","TKH-2015-000855","American foulbrood of honey bees","1341976","2015-07-23","2015-09-30","AUT","AT31","408",NULL,"number","1",NULL,"5"
"67","2015","7","TKH-2015-000859","American foulbrood of honey bees","1341976","2015-07-30","2016-04-27","AUT","AT33","703",NULL,"number","1",NULL,"56"
"68","2015","7","TKH-2015-000860","American foulbrood of honey bees","1341976","2015-07-30","2016-04-27","AUT","AT33","703",NULL,"number","1",NULL,"56"
"69","2015","8","TKH-2015-000866","American foulbrood of honey bees","1341976","2015-08-03","2015-11-02","AUT","AT31","411",NULL,"number","1",NULL,"51"
"70","2015","8","TKH-2015-000870","American foulbrood of honey bees","1341976","2015-08-05","2015-10-08","AUT","AT31","417",NULL,"number","1",NULL,"27"
"71","2015","8","TKH-2015-000871","American foulbrood of honey bees","1341976","2015-08-03","2016-04-27","AUT","AT33","703",NULL,"number","1",NULL,"56"
"72","2015","8","TKH-2015-000875","American foulbrood of honey bees","1341976","2015-08-01","2015-10-12","AUT","AT33","704",NULL,"number","1",NULL,"27"
"73","2015","8","TKH-2015-000883","American foulbrood of honey bees","1341976","2015-08-14","2016-04-27","AUT","AT33","703",NULL,"number","1",NULL,"56"
"74","2015","8","TKH-2015-000886","American foulbrood of honey bees","1341976","2015-08-05","2016-06-06","AUT","AT32","504",NULL,"number","1",NULL,"61"
"75","2015","8","TKH-2015-000887","American foulbrood of honey bees","1341976","2015-08-05","2016-06-06","AUT","AT32","504",NULL,"number","1",NULL,"61"
"76","2015","8","TKH-2015-000889","American foulbrood of honey bees","1341976","2015-08-05",NULL,"AUT","AT12","315",NULL,"number","1",NULL,"54"
"77","2016","8","TKH-2015-000891","American foulbrood of honey bees","1341976","2016-08-24","2017-05-08","AUT","AT32","504",NULL,"number","1",NULL,"59"
"78","2015","8","TKH-2015-000892","American foulbrood of honey bees","1341976","2015-08-13","2016-06-21","AUT","AT12","325",NULL,"number","1",NULL,"57"
"79","2015","8","TKH-2015-000893","American foulbrood of honey bees","1341976","2015-08-13","2015-10-12","AUT","AT12","325",NULL,"number","1",NULL,"27"
"80","2015","8","TKH-2015-000895","American foulbrood of honey bees","1341976","2015-08-10","2016-07-21","AUT","AT32","504",NULL,"number","1",NULL,"61"
"81","2015","8","TKH-2015-000896","American foulbrood of honey bees","1341976","2015-08-06","2016-04-22","AUT","AT12","315",NULL,"number","1",NULL,"56"
